ISO3,year,D_US,D_EU,D_ON,D_S
GBR,2016,0.0,6.0,0.0,0.0
GEO,2016,0.0,5.999999999994,0.0,4.999999999998
GRC,2016,0.0,6.0,0.0,0.0
GRD,2016,0.0,5.999999999994,0.0,4.50753939612502
GRL,2016,0.0,3.999999999996,0.0,0.0
GUY,2016,0.0,5.999999999994,0.0,4.507129474255123
HRV,2016,0.0,6.0,3.2920353982300883,6.0
HTI,2016,0.0,5.999999999994,0.0,2.999999999997
HUN,2016,0.0,6.0,0.0,6.0
IND,2016,0.0,0.0,3.999999999996,4.999999999999
IRL,2016,0.0,6.0,0.0,0.0
ISL,2016,0.0,6.0,6.0,0.0
ITA,2016,0.0,6.0,0.0,0.0
JAM,2016,0.0,5.999999999994,0.0,4.507129474255123
KEN,2016,0.0,2.4589774078478,0.0,3.7586206896551726
KNA,2016,0.0,5.999999999994,0.0,4.50753939612502
LBN,2016,0.0,2.4690265486725664,3.999999999996,3.4913033040418435
LCA,2016,0.0,5.999999999994,0.0,4.50753939612502
LIE,2016,0.0,6.0,6.0,0.0
LSO,2016,0.0,2.999999999997,1.999999999998,2.999999999998
LTU,2016,0.0,6.0,2.3307182387642156,6.0
LUX,2016,0.0,6.0,0.0,0.0
LVA,2016,0.0,6.0,2.7643374080155687,6.0
MCO,2016,0.0,0.0,0.0,0.0
MDA,2016,0.0,5.999999999994,0.0,5.999999999998508
MDG,2016,0.0,0.0,0.0,3.0
MKD,2016,0.0,2.5396825396825395,2.999999999997,5.999999999999853
MLT,2016,0.0,6.0,0.0,6.0
MNE,2016,0.0,2.999999999997,2.999999999997,6.0
MOZ,2016,0.0,2.999999999997,0.0,2.9999999999979714
MSR,2016,0.0,3.999999999996,0.0,4.50753939612502
MUS,2016,0.0,0.0,0.0,4.999999999999
NAM,2016,0.0,2.999999999997,1.999999999998,4.999999999997
NCL,2016,0.0,3.999999999996,0.0,0.0
NLD,2016,0.0,6.0,0.0,0.0
NOR,2016,0.0,6.0,6.0,0.0
PAK,2016,0.0,0.0,0.0,4.999999999999
PCN,2016,0.0,3.999999999996,0.0,0.0
PHL,2016,0.0,0.0,4.999999999999,5.507936507935508
PNG,2016,0.0,0.0,0.5079365079365079,1.999999999998
POL,2016,0.0,6.0,0.0,6.0
PRT,2016,0.0,6.0,0.0,0.0
PYF,2016,0.0,3.999999999996,0.0,0.0
ROU,2016,0.0,6.0,0.0,6.0
SMR,2016,0.0,0.0,0.0,0.0
SPM,2016,0.0,3.999999999996,0.0,0.0
SRB,2016,0.0,5.264033264033264,4.517241379308862,5.999999999999
SUR,2016,0.0,5.999999999994,0.0,4.5046034000474915
SVK,2016,0.0,6.0,0.0,6.0
SVN,2016,0.0,6.0,2.275862068965517,6.0
SWE,2016,0.0,6.0,0.0,0.0
SWZ,2016,0.0,2.999999999997,1.999999999998,4.999999999998
SYC,2016,0.0,0.0,0.0,2.999999999999
SYR,2016,0.0,0.0,0.0,3.7578735197757895
TCA,2016,0.0,3.999999999996,0.0,0.0
TTO,2016,0.0,5.999999999994,0.0,4.507129474255123
TUN,2016,0.0,2.999999999997,2.999999999997,4.758620689655114
TUR,2016,0.0,3.999999999998,0.0,5.999999999999
TZA,2016,0.0,2.4589774078478,0.0,4.999999999998758
UGA,2016,0.0,2.4589774078478,0.0,3.7586206896551726
URY,2016,0.0,0.0,0.0,6.0
VCT,2016,0.0,5.999999999994,0.0,4.50753939612502
WLF,2016,0.0,3.999999999996,0.0,0.0
XKX,2016,0.0,3.0344827586206895,0.0,5.999999999995524
ZAF,2016,0.0,3.999999999998,1.999999999998,4.999999999999
ZWE,2016,0.0,0.0,0.0,4.999999999999
ABW,2017,0.0,3.999999999996,0.0,0.0
AIA,2017,0.0,3.999999999996,0.0,0.0
ALB,2017,0.0,3.0476190476190474,5.2920353982289114,5.999999999998996
AND,2017,0.0,0.0,0.0,0.0
ATG,2017,0.0,5.999999999994,0.0,4.50753939612502
AUT,2017,0.0,6.0,0.0,0.0
BEL,2017,0.0,6.0,0.0,0.0
BGR,2017,0.0,6.0,0.0,6.0
BHS,2017,0.0,5.999999999994,0.0,4.507129474255121
BIH,2017,0.0,0.999999999999,2.999999999997,5.999999999998881
BLZ,2017,0.0,5.999999999994,0.0,4.507837516279103
BMU,2017,0.0,3.999999999996,0.0,0.0
